uid,시장정보,지번 주소,도로명 주소,지리정보,시장개설주기,시장유형,취급품목,점포수,홈페이지주소,시도군
f111efca-9a9e-4868-82b8-e37f628f146f,강남시장,서울특별시 강남구 신사동 510-11,서울특별시 강남구 압구정로 2길 46,"{'latitude': '37.5187768', 'longitude': '127.0206947'}",매일,상설장,"농산물,축산물,가공식품,의류/신발,기타소매업",70,,서울
46d6d3b3-8e46-4fd9-a658-e76d334de35d,신사상가,서울특별시 강남구 압구정동 454,서울특별시 강남구 압구정로29길 72-1,"{'latitude': '37.5322917', 'longitude': '127.0284177'}",매일,상설장,"농산물,수산물,가공식품,의류/신발",90,,서울
f80487e8-449d-49c2-8346-d62cbc94a1cd,영동전통시장,서울특별시 강남구 논현동 140,서울특별시 강남구 강남대로 128길 20 영동프라자 2동 204호,"{'latitude': '37.5099472', 'longitude': '127.0236926'}",매일,상설장,"축산물,가공식품,의류/신발,기타소매업",110,,서울
045762bb-64c0-4147-92e6-7a39cdbac91a,청담삼익시장,서울특별시 강남구 청담동 134-20,서울특별시 강남구 학동로 101길 26,"{'latitude': '37.5223088', 'longitude': '127.0577511'}",매일,상설장,"농산물,축산물,가공식품,의류/신발,기타소매업",183,,서울
8abfa8f6-d473-423f-b1f9-36bcfff26e2e,고분다리전통시장,서울특별시 강동구 천호동 393-32,서울특별시 강동구 구천면로34길 13,"{'latitude': '37.5425145', 'longitude': '127.1319593'}",매일,상설장,"농산물,축산물,수산물,가공식품,가정용품",106,,서울
67c6148b-06e9-41d9-88ea-5cd0b595d9cc,길동복조리시장,서울특별시 강동구 천호대로193길 37,서울특별시 강동구 길동 400,"{'latitude': '37.5370211', 'longitude': '127.1437013'}",매일,상설장,"농산물,축산물,수산물,가공식품,음식점업",166,,서울
c804faca-3dd0-470b-a7a9-4114ac4b35f2,둔촌역전통시장,서울특별시 강동구 성내동 416-12,서울특별시 강동구 양재대로91길20,"{'latitude': '37.5280845', 'longitude': '127.1350026'}",매일,상설장,"농산물,축산물,수산물,가공식품,가정용품",125,,서울
c9c2ac99-3d16-4639-8b97-5b3bf6daef7b,명일전통시장,서울특별시 강동구 명일동 333-2 일대,서울특별시 강동구 양재대로138길 20,"{'latitude': '37.5495206', 'longitude': '127.1449410'}",매일,상설장,"농산물,축산물,수산물,가공식품,의류/신발",90,,서울
79a7e239-6cb0-4019-a4d2-c88e5e279288,성내전통시장,서울특별시 강동구 성내동 144-12,서울특별시 강동구 천호대로162길 61,"{'latitude': '37.5341651', 'longitude': '127.1279238'}",매일,상설장,"농산물,축산물,수산물,가공식품,기타소매업",82,,서울
39b64f20-b9d2-41aa-87c4-d92e7c8a03b2,암사종합시장,서울특별시 강동구 암사동 501-18,서울특별시 강동구 상암로 11길 17,"{'latitude': '37.5505930', 'longitude': '127.1287278'}",매일,상설장,"농산물,축산물,수산물,가공식품,음식점업",113,,서울
d4bd6c27-3bb6-47d9-b574-211524df0c3d,강북북부시장,서울특별시 강북구  번동 413-3,서울특별시 강북구 한천로 123길 26,"{'latitude': '37.6362383', 'longitude': '127.0303524'}",매일,상설장,"가공식품,음식점업,기타소매업,근린생활서비스업",50,http://www.amsamarket.com,서울
8e076b46-6389-49e7-9e23-543c0a8936f5,동북시장,서울특별시 강북구 미아동 701-3,서울특별시 강북구 솔샘로 233,"{'latitude': '37.6202562', 'longitude': '127.0188171'}",매일,상설장,"농산물,축산물,가공식품,근린생활서비스업",28,,서울
e56802de-cc95-4c87-8847-4fe7b9f077eb,수유북부시장,서울특별시 강북구 수유동 413-2,서울특별시 강북구 삼양로 91길 11의 12,"{'latitude': '37.6367393', 'longitude': '127.0165090'}",매일,상설장,"기타소매업,근린생활서비스업",25,,서울
efccf13a-04a5-48fa-8ade-603d9c6558d0,수유시장,서울특별시 강북구 수유1동 54-5,서울특별시 강북구 도봉로67길 18,"{'latitude': '37.6307853', 'longitude': '127.0229691'}",매일,상설장,"축산물,의류/신발,가정용품,음식점업,기타소매업",60,,서울
5aae18e1-8c79-44b3-8d2d-a952d7c3279e,수유재래시장,서울특별시 강북구 수유1동 50-77,서울특별시 강북구 도봉로71길 26,"{'latitude': '37.6314983', 'longitude': '127.0224827'}",매일,상설장,"농산물,축산물,수산물",110,,서울
ee6326bf-dc25-4561-9e9b-f3be9ec77360,수유전통시장(수유골목시장),서울특별시 강북구 수유동 54-5,서울특별시 강북구 도봉로67길 18,"{'latitude': '37.6307853', 'longitude': '127.0229691'}",매일,상설장,"농산물,축산물,수산물,가공식품,기타소매업",85,,서울
