시장정보,지번 주소,도로명 주소,지리정보,시장개설주기,시장유형,시장크기,점포수,시도,시군구
중앙시장,강원도 강릉시 성남동 50,강원도 강릉시 금성로21,"{'latitude': '37.7539963', 'longitude': '128.8986308'}",상설,전통시장,중형시장,80,강원,강릉시
북평민속시장,강원도 동해시 북평동 15-5,강원도 동해시 오일장길 32,"{'latitude': '37.4824942', 'longitude': '129.1260015'}",상설+정기,전통시장,중형시장,455,강원,동해시
삼척중앙시장,강원도 삼척시 남양동 55-4,강원도 삼척시진주로 12-21,"{'latitude': '37.4421156', 'longitude': '129.1652466'}",상설+정기,전통시장,중형시장,79,강원,삼척시
속초종합중앙시장,강원도 속초시 중앙동 471-4,강원도 속초시 중앙로147번길 16,"{'latitude': '38.2045342', 'longitude': '128.5902328'}",상설,전통시장,중형시장,56,강원,속초시
속초중앙전통시장,강원도 속초시 중앙동 493-3,강원도 속초시  중앙시장로6길 2 외 127필지,"{'latitude': '38.2054998', 'longitude': '128.5893159'}",상설,전통시장,중형시장,74,강원,속초시
양구중앙시장,강원도 양구군 상리 235,강원도 양구군 중앙길 68,"{'latitude': '38.1040943', 'longitude': '127.9892283'}",상설+정기,전통시장,소형시장,80,강원,양구군
양양전통시장,강원도 양양군 남문리 57,강원도 양양군 양양읍 남문5길 9,"{'latitude': '38.0750069', 'longitude': '128.6232196'}",상설+정기,전통시장,소형시장,148,강원,양양군
임계사통팔달시장,강원도 정선군 송계리 774-5,강원도 정선군 송계3길 12,"{'latitude': '37.4952360', 'longitude': '128.8523251'}",정기,전통시장,소형시장,82,강원,정선군
정선아리랑시장,강원도 정선군 정선읍 봉양리 349-20,강원도 정선군 정선읍 봉양7길 39,"{'latitude': '37.3803925', 'longitude': '128.6652348'}",상설+정기,전통시장,중형시장,178,강원,정선군
동송시장,강원도 철원군 동송읍 이평리 680-1,강원도 철원군 동송읍 이평로 47번길 16,"{'latitude': '38.2088561', 'longitude': '127.2188597'}",상설+정기,전통시장,소형시장,59,강원,철원군
춘천풍물시장,강원도 춘천시 온의동 148-1,강원도 춘천시 온의동 영서로 2352-48,"{'latitude': '37.8665801', 'longitude': '127.7190705'}",상설+정기,전통시장,소형시장,208,강원,춘천시
봉평전통시장(봉평시장),강원도 평창군 봉평면 창동리 397-34,강원도 평창군 봉평면 허생원장터길15,"{'latitude': '37.6156276', 'longitude': '128.3773090'}",상설+정기,전통시장,소형시장,83,강원,평창군
진부전통시장,강원도 평창군 진부면 하진부리 206-95,강원도 평창군 진부면 진부새싹길 28 - 7,"{'latitude': '37.6382057', 'longitude': '128.5579329'}",상설+정기,전통시장,중형시장,80,강원,평창군
광명시장,경기도 광명시 광명동 158-44,경기도 광명시 광이로13번길 17-5,"{'latitude': '37.4799556', 'longitude': '126.8561762'}",상설,전통시장,중형시장,70,경기,광명시
구리전통시장,경기도 구리시 수택동 417,경기도 구리시 검배로 6번길 31,"{'latitude': '37.5995348', 'longitude': '127.1399233'}",상설,전통시장,중형시장,65,경기,구리시
상대원시장,경기도 성남시 중원구 상대원동 2985-1,경기도 성남시 중원구 희망로344번길 6,"{'latitude': '37.4359968', 'longitude': '127.1587403'}",상설,전통시장,소형시장,56,경기,성남시
구천동공구상가,경기도 수원시 팔달구 구천동 46의 23,경기도 수원시 팔달구 매산로 161,"{'latitude': '37.2734922', 'longitude': '127.0178695'}",상설,전통시장,소형시장,122,경기,수원시
미나리광시장,경기도 수원시 팔달구 지동 406,경기도 수원시 팔달구 수원천로 266의 4,"{'latitude': '37.2771724', 'longitude': '127.0194858'}",상설,전통시장,소형시장,106,경기,수원시
안산시시민시장,경기도 안산시 단원구 초지동 604-4,경기도 안산시 단원구 화랑로 149,"{'latitude': '37.3251712', 'longitude': '126.8053569'}",상설+정기,전통시장,중형시장,168,경기,안산시
안양중앙인정시장,경기도 안양시 만안구 안양동 711-280,경기도 안양시 만안구 냉천로185번길 8,"{'latitude': '37.3964942', 'longitude': '126.9195666'}",상설,전통시장,중대형시장,290,경기,안양시
오색시장,경기도 오산시 오산동 853-27,경기도 오산시 오산로 272번길 21,"{'latitude': '37.1513212', 'longitude': '127.0709541'}",상설+정기,전통시장,중형시장,69,경기,오산시
용인중앙시장,경기도 용인시 처인구 김량장동 137-1,경기도 용인시 처인구 금령로107번길 13,"{'latitude': '37.2367167', 'longitude': '127.2078267'}",상설+정기,전통시장,중대형시장,109,경기,용인시
의정부제일시장,경기도 의정부시 의정부동 160,경기도 의정부시 태평로 73번길 20,"{'latitude': '37.7397875', 'longitude': '127.0503897'}",상설,전통시장,중형시장,244,경기,의정부시
송탄시장,경기도 평택시 지산동 745-14,경기도 평택시 탄현로 346번길24,"{'latitude': '37.0821115', 'longitude': '127.0570855'}",상설+정기,전통시장,중형시장,198,경기,평택시
통복시장,경기도 평택시 신장동 318-24,경기도 평택시 동복시장로 25번길 10,"{'latitude': '37.0798921', 'longitude': '127.0523645'}",상설+정기,전통시장,중대형시장,99,경기,평택시
남양시장,경기도 화성시 남양리 302-1,경기도 화성시 남양읍 글판동길 4,"{'latitude': '37.2050286', 'longitude': '126.8024167'}",상설+정기,전통시장,중형시장,99,경기,화성시
발안만세시장,경기도 화성시 향남읍 평리 81-51,경기도 화성시 향남읍 평2길 7,"{'latitude': '37.1314652', 'longitude': '126.9094670'}",상설+정기,전통시장,중대형시장,100,경기,화성시
사강시장,경기도 화성시 송산면 사강리 663-1,경기도 화성시 송산면 사강로 183-1,"{'latitude': '37.2132741', 'longitude': '126.7364573'}",상설+정기,전통시장,중형시장,99,경기,화성시
고성시장,경상남도 고성군 고성읍 서외리 1-6,경상남도 고성군 고성읍 중앙로25번길57,"{'latitude': '34.9771324', 'longitude': '128.3230351'}",상설+정기,전통시장,중형시장,99,경남,고성군
