주소,지리정보,시장정보
서울특별시 강남구 압구정로 2길 46,"{'latitude': '37.5187917', 'longitude': '127.0205364'}",강남시장
서울특별시 강남구 압구정로29길 72-1,"{'latitude': '37.5322880', 'longitude': '127.0284020'}",신사상가
서울특별시 강남구 강남대로 128길 20 영동프라자 2동 204호,"{'latitude': '37.5099924', 'longitude': '127.0238235'}",영동전통시장
서울특별시 강남구 학동로 101길 26,"{'latitude': '37.5224875', 'longitude': '127.0577062'}",청담삼익시장
서울특별시 강동구 구천면로34길 13,"{'latitude': '37.5424957', 'longitude': '127.1319457'}",고분다리전통시장
서울특별시 강동구 길동 400,"{'latitude': '37.5371709', 'longitude': '127.1442038'}",길동복조리시장
서울특별시 강동구 양재대로91길20,"{'latitude': '37.5280653', 'longitude': '127.1349817'}",둔촌역전통시장
서울특별시 강동구 양재대로138길 20,"{'latitude': '37.5495401', 'longitude': '127.1449654'}",명일전통시장
서울특별시 강동구 천호대로162길 61,"{'latitude': '37.5341764', 'longitude': '127.1279003'}",성내전통시장
서울특별시 강동구 상암로 11길 17,"{'latitude': '37.5504319', 'longitude': '127.1286634'}",암사종합시장
서울특별시 강북구 한천로 123길 26,"{'latitude': '37.6362378', 'longitude': '127.0303582'}",강북북부시장
서울특별시 강북구 솔샘로 233,"{'latitude': '37.6201527', 'longitude': '127.0187184'}",동북시장
서울특별시 강북구 삼양로 91길 11의 12,"{'latitude': '37.6367626', 'longitude': '127.0165103'}",수유북부시장
서울특별시 강북구 도봉로67길 18,"{'latitude': '37.6307463', 'longitude': '127.0227328'}",수유시장
서울특별시 강북구 도봉로71길 26,"{'latitude': '37.6315300', 'longitude': '127.0223304'}",수유재래시장
서울특별시 강북구 도봉로67길 18,"{'latitude': '37.6307463', 'longitude': '127.0227328'}",수유전통시장(수유골목시장)
서울특별시 강북구 도봉로 261,"{'latitude': '37.6316819', 'longitude': '127.0234924'}",수유프라자
서울특별시 강북구 도봉로 45,"{'latitude': '37.6131312', 'longitude': '127.0294620'}",숭인시장
서울특별시 강북구 노해로 23길 68,"{'latitude': '37.6460399', 'longitude': '127.0200277'}",우이시장
서울특별시 강북구 삼양로 464,"{'latitude': '37.6446441', 'longitude': '127.0160437'}",장미원골목시장
서울특별시 강서구 강서로 12길 14,"{'latitude': '37.5315345', 'longitude': '126.8478713'}",까치산시장
서울특별시 강서구 곰달래로 55길4(화곡동),"{'latitude': '37.5322382', 'longitude': '126.8607297'}",남부골목시장
서울특별시 강서구 등촌로5길 80번지,"{'latitude': '37.5332061', 'longitude': '126.8591816'}",남부화곡시장
서울특별시 강서구 화곡로21길 78,"{'latitude': '37.5444893', 'longitude': '126.8364815'}",대원종합시장
